plot_id,title_bn,source_url,rejected_on
BN024,আদম সুরত,https://bn.wikipedia.org/wiki/%E0%A6%86%E0%A6%A6%E0%A6%AE_%E0%A6%B8%E0%A7%81%E0%A6%B0%E0%A6%A4,2026-07-31
BN042,কাগজের ফুল,https://bn.wikipedia.org/wiki/%E0%A6%95%E0%A6%BE%E0%A6%97%E0%A6%9C%E0%A7%87%E0%A6%B0_%E0%A6%AB%E0%A7%81%E0%A6%B2,2026-07-31
BN068,দহন (১৯৮৫-এর চলচ্চিত্র),https://bn.wikipedia.org/wiki/%E0%A6%A6%E0%A6%B9%E0%A6%A8_(%E0%A7%A7%E0%A7%AF%E0%A7%AE%E0%A7%AB-%E0%A6%8F%E0%A6%B0_%E0%A6%9A%E0%A6%B2%E0%A6%9A%E0%A7%8D%E0%A6%9A%E0%A6%BF%E0%A6%A4%E0%A7%8D%E0%A6%B0),2026-07-31
BN113,শঙ্খবেলা,https://bn.wikipedia.org/wiki/%E0%A6%B6%E0%A6%99%E0%A7%8D%E0%A6%96%E0%A6%AC%E0%A7%87%E0%A6%B2%E0%A6%BE,2026-07-31
