K,silhouette,calinski_harabasz,davies_bouldin,gap,gap_se,prediction_strength,bootstrap_ari_mean,bootstrap_ari_sd,gmm_bic,ari_vs_sentiment,min_cluster_share,max_cluster_share,trap_band
2,0.039357706904411316,107.82347869873047,5.003094056799972,0.8906673659938171,0.000636806868369301,0.8182512724006779,0.9624070948974177,0.03621691695173929,-9361769.164747147,0.010704442440393952,0.4941348973607038,0.5058651026392962,NOT_SENTIMENT_ALIGNED
3,0.032924093306064606,90.73785400390625,4.600256246072939,0.9152039827550915,0.0007026878437659463,0.6588895595605313,0.8807771971498713,0.24258738951424813,-9416387.696796993,0.017237108256520608,0.25439882697947214,0.44501466275659823,NOT_SENTIMENT_ALIGNED
4,0.028462709859013557,80.52772521972656,4.407296789459498,0.9341936652634857,0.000496833074204554,0.6708685294570623,0.906478489515613,0.10877777420255859,-9455950.81184063,0.05499813959473625,0.23020527859237536,0.28115835777126097,NOT_SENTIMENT_ALIGNED
5,0.028005659580230713,73.09986877441406,4.1170199896360336,0.9507927468039306,0.0005969870053278661,0.4306172057849606,0.7387527661737125,0.1910118975410753,-9492659.059721468,0.07016654981115,0.17668621700879766,0.23900293255131966,NOT_SENTIMENT_ALIGNED
6,0.029860280454158783,67.59314727783203,4.031153154294216,0.9627021652559975,0.0006187647272611124,0.4399738094133093,0.8152102184227563,0.14764930435773574,-9523537.06106376,0.06833596185178911,0.11473607038123167,0.20711143695014664,NOT_SENTIMENT_ALIGNED
7,0.02473628893494606,62.72904968261719,3.923488548817679,0.9759644702725829,0.0005559563107852149,0.3697340146632112,0.7036703410542738,0.15347074905503907,-9538495.16120481,0.05103019760316777,0.10043988269794721,0.18914956011730205,NOT_SENTIMENT_ALIGNED
8,0.02734750509262085,58.17835998535156,3.82645628010503,0.985353261454744,0.0006452719451145087,0.31220463460757764,0.6651436633977797,0.105042039303622,-9553319.017463816,0.0419264292643217,0.06195014662756598,0.1781524926686217,NOT_SENTIMENT_ALIGNED
