block,annotator,n,correct,accuracy,p_exact,ci_lo,ci_hi
intrusion,A,50,39,0.78,5.740334124758055e-15,0.6475818431054045,0.8724621377569771
intrusion,B,50,42,0.84,2.9606157867398954e-18,0.7148551903823401,0.9166267863791231
intrusion,POOLED,100,81,0.81,1.0368549295301844e-31,,
pairwise,A,40,34,0.85,4.182292286714073e-06,0.7092737396097997,0.9293890829149257
pairwise,B,40,34,0.85,4.182292286714073e-06,0.7092737396097997,0.9293890829149257
pairwise,POOLED,80,68,0.85,6.008243175410135e-11,,
