_timestamp_utc,_git_commit,_untracked_files,_config,_python,_platform,condition,key,plot_id,arm,target_level,n_words,neural,symbolic
2026-08-17T19:26:53.388935+00:00,dda307c855d2f77026e2a39a89d5d81b166e1281,0,configs/s4_w.yaml,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,length_controlled,BN032|L1|a1|bn|local:google/gemma-3-12b-it,BN032,bn,1,14,0.9998259026182115,0.2465409667674515
2026-08-17T19:26:53.388935+00:00,dda307c855d2f77026e2a39a89d5d81b166e1281,0,configs/s4_w.yaml,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,length_controlled,BN037|L0|a1|bn|local:google/gemma-3-12b-it,BN037,bn,0,8,0.9999096202787857,0.88511283825037
2026-08-17T19:26:53.388935+00:00,dda307c855d2f77026e2a39a89d5d81b166e1281,0,configs/s4_w.yaml,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,length_controlled,BN037|L1|a1|bn|local:google/gemma-3-12b-it,BN037,bn,1,18,0.9984491140298193,0.12877422053341692
2026-08-17T19:26:53.388935+00:00,dda307c855d2f77026e2a39a89d5d81b166e1281,0,configs/s4_w.yaml,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,length_controlled,BN041|L0|a1|bn|local:google/gemma-3-12b-it,BN041,bn,0,12,0.02633640122968328,0.9130536065667308
2026-08-17T19:26:53.388935+00:00,dda307c855d2f77026e2a39a89d5d81b166e1281,0,configs/s4_w.yaml,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,length_controlled,BN041|L1|a1|bn|local:google/gemma-3-12b-it,BN041,bn,1,16,0.14968008271846003,0.18166513482099075
2026-08-17T19:26:53.388935+00:00,dda307c855d2f77026e2a39a89d5d81b166e1281,0,configs/s4_w.yaml,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,length_controlled,BN043|L0|a1|bn|local:google/gemma-3-12b-it,BN043,bn,0,11,0.012500741335059073,0.5693019412235901
2026-08-17T19:26:53.388935+00:00,dda307c855d2f77026e2a39a89d5d81b166e1281,0,configs/s4_w.yaml,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,length_controlled,BN043|L1|a1|bn|local:google/gemma-3-12b-it,BN043,bn,1,17,0.04526509224259346,0.16043223110067048
2026-08-17T19:26:53.388935+00:00,dda307c855d2f77026e2a39a89d5d81b166e1281,0,configs/s4_w.yaml,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,length_controlled,BN045|L0|a1|bn|local:google/gemma-3-12b-it,BN045,bn,0,9,0.8641684874032961,0.8958020824103494
2026-08-17T19:26:53.388935+00:00,dda307c855d2f77026e2a39a89d5d81b166e1281,0,configs/s4_w.yaml,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,length_controlled,BN045|L1|a1|bn|local:google/gemma-3-12b-it,BN045,bn,1,18,0.9978327723993039,0.06801591586863093
2026-08-17T19:26:53.388935+00:00,dda307c855d2f77026e2a39a89d5d81b166e1281,0,configs/s4_w.yaml,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,length_controlled,BN046|L0|a1|bn|local:google/gemma-3-12b-it,BN046,bn,0,12,0.9999977623570478,0.6829721245501295
