_timestamp_utc,_git_commit,_untracked_files,_config,_python,_platform,condition,target_level,n_generated,n_real_regionA,js_length_exact_word_count
2026-08-22T15:04:52.818181+00:00,ea69e8e1a4eaf3845c261968e1c4934af34e75ae,14,configs/s5_diversity_realism_bn.yaml,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,blind_resampling,0,270,1143,0.23637578245769658
2026-08-22T15:04:52.818181+00:00,ea69e8e1a4eaf3845c261968e1c4934af34e75ae,14,configs/s5_diversity_realism_bn.yaml,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,blind_resampling,1,270,754,0.5525515310337926
2026-08-22T15:04:52.818181+00:00,ea69e8e1a4eaf3845c261968e1c4934af34e75ae,14,configs/s5_diversity_realism_bn.yaml,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,external_role_self_critique,0,270,1143,0.3687363369660485
2026-08-22T15:04:52.818181+00:00,ea69e8e1a4eaf3845c261968e1c4934af34e75ae,14,configs/s5_diversity_realism_bn.yaml,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,external_role_self_critique,1,270,754,0.3591074547077994
2026-08-22T15:04:52.818181+00:00,ea69e8e1a4eaf3845c261968e1c4934af34e75ae,14,configs/s5_diversity_realism_bn.yaml,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,gemma4_26b_a4b_judge_loop,0,270,1143,0.23747701790699283
2026-08-22T15:04:52.818181+00:00,ea69e8e1a4eaf3845c261968e1c4934af34e75ae,14,configs/s5_diversity_realism_bn.yaml,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,gemma4_26b_a4b_judge_loop,1,270,754,0.5829965990340042
2026-08-22T15:04:52.818181+00:00,ea69e8e1a4eaf3845c261968e1c4934af34e75ae,14,configs/s5_diversity_realism_bn.yaml,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,intrinsic_self_critique,0,270,1143,0.2989268529687619
2026-08-22T15:04:52.818181+00:00,ea69e8e1a4eaf3845c261968e1c4934af34e75ae,14,configs/s5_diversity_realism_bn.yaml,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,intrinsic_self_critique,1,270,754,0.3768010800877532
2026-08-22T15:04:52.818181+00:00,ea69e8e1a4eaf3845c261968e1c4934af34e75ae,14,configs/s5_diversity_realism_bn.yaml,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,rag_neural_loop,0,270,1143,0.16942279441364938
2026-08-22T15:04:52.818181+00:00,ea69e8e1a4eaf3845c261968e1c4934af34e75ae,14,configs/s5_diversity_realism_bn.yaml,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,rag_neural_loop,1,270,754,0.4992218809916269
2026-08-22T15:04:52.818181+00:00,ea69e8e1a4eaf3845c261968e1c4934af34e75ae,14,configs/s5_diversity_realism_bn.yaml,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,rag_neural_symbolic_feedback,0,270,1143,0.1533897693750314
2026-08-22T15:04:52.818181+00:00,ea69e8e1a4eaf3845c261968e1c4934af34e75ae,14,configs/s5_diversity_realism_bn.yaml,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,rag_neural_symbolic_feedback,1,270,754,0.5417541819452081
2026-08-22T15:04:52.818181+00:00,ea69e8e1a4eaf3845c261968e1c4934af34e75ae,14,configs/s5_diversity_realism_bn.yaml,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,rag_only,0,270,1143,0.22501089669101337
2026-08-22T15:04:52.818181+00:00,ea69e8e1a4eaf3845c261968e1c4934af34e75ae,14,configs/s5_diversity_realism_bn.yaml,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,rag_only,1,270,754,0.5605204956715031
2026-08-22T15:04:52.818181+00:00,ea69e8e1a4eaf3845c261968e1c4934af34e75ae,14,configs/s5_diversity_realism_bn.yaml,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,rag_symbolic_loop,0,270,1143,0.21850788901740836
2026-08-22T15:04:52.818181+00:00,ea69e8e1a4eaf3845c261968e1c4934af34e75ae,14,configs/s5_diversity_realism_bn.yaml,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,rag_symbolic_loop,1,270,754,0.5479079354542237
2026-08-22T15:04:52.818181+00:00,ea69e8e1a4eaf3845c261968e1c4934af34e75ae,14,configs/s5_diversity_realism_bn.yaml,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,static_few_shot,0,270,1143,0.24784294879347996
2026-08-22T15:04:52.818181+00:00,ea69e8e1a4eaf3845c261968e1c4934af34e75ae,14,configs/s5_diversity_realism_bn.yaml,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,static_few_shot,1,270,754,0.5767777850881047
2026-08-22T15:04:52.818181+00:00,ea69e8e1a4eaf3845c261968e1c4934af34e75ae,14,configs/s5_diversity_realism_bn.yaml,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,zero_shot,0,270,1143,0.22805368948955418
2026-08-22T15:04:52.818181+00:00,ea69e8e1a4eaf3845c261968e1c4934af34e75ae,14,configs/s5_diversity_realism_bn.yaml,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,zero_shot,1,270,754,0.6119874862447916
