review_id,cluster,Sentiment,region,threshold
bn_0169,0,1,A_organic,0.95
bn_0170,0,1,A_organic,0.95
bn_0171,0,1,A_organic,0.95
bn_0172,0,1,A_organic,0.95
bn_0173,1,1,A_organic,0.95
bn_0176,0,1,A_organic,0.95
bn_0179,1,1,A_organic,0.95
bn_0181,0,1,A_organic,0.95
bn_0183,0,1,A_organic,0.95
bn_0184,0,1,A_organic,0.95
bn_0186,0,1,A_organic,0.95
bn_0187,0,1,A_organic,0.95
bn_0188,0,1,A_organic,0.95
bn_0189,1,1,A_organic,0.95
bn_0190,0,1,A_organic,0.95
bn_0191,0,1,A_organic,0.95
bn_0192,0,1,A_organic,0.95
bn_0193,0,1,A_organic,0.95
bn_0194,1,1,A_organic,0.95
bn_0195,1,1,A_organic,0.95
bn_0196,2,1,A_organic,0.95
bn_0197,1,1,A_organic,0.95
bn_0198,1,1,A_organic,0.95
bn_0199,2,1,A_organic,0.95
bn_0200,1,1,A_organic,0.95
bn_0201,1,1,A_organic,0.95
bn_0202,2,1,A_organic,0.95
bn_0203,2,1,A_organic,0.95
bn_0204,2,1,A_organic,0.95
bn_0205,0,1,A_organic,0.95
bn_0206,1,1,A_organic,0.95
bn_0207,2,1,A_organic,0.95
bn_0208,2,1,A_organic,0.95
bn_0209,1,1,A_organic,0.95
bn_0210,2,1,A_organic,0.95
bn_0211,1,1,A_organic,0.95
bn_0212,0,1,A_organic,0.95
bn_0213,0,1,A_organic,0.95
bn_0214,1,1,A_organic,0.95
bn_0215,1,1,A_organic,0.95
bn_0217,2,1,A_organic,0.95
bn_0218,0,1,A_organic,0.95
bn_0219,0,1,A_organic,0.95
bn_0220,0,1,A_organic,0.95
bn_0221,0,1,A_organic,0.95
bn_0222,0,1,A_organic,0.95
bn_0223,0,1,A_organic,0.95
bn_0224,1,1,A_organic,0.95
bn_0225,0,1,A_organic,0.95
bn_0226,2,1,A_organic,0.95
bn_0227,2,1,A_organic,0.95
bn_0228,0,1,A_organic,0.95
bn_0229,1,1,A_organic,0.95
bn_0230,1,1,A_organic,0.95
bn_0231,2,1,A_organic,0.95
bn_0232,0,1,A_organic,0.95
bn_0233,2,1,A_organic,0.95
bn_0234,0,1,A_organic,0.95
bn_0235,1,1,A_organic,0.95
bn_0236,2,1,A_organic,0.95
bn_0237,0,1,A_organic,0.95
bn_0238,1,1,A_organic,0.95
bn_0239,0,1,A_organic,0.95
bn_0240,0,1,A_organic,0.95
bn_0241,0,1,A_organic,0.95
bn_0242,1,1,A_organic,0.95
bn_0243,1,1,A_organic,0.95
bn_0244,0,1,A_organic,0.95
bn_0245,2,1,A_organic,0.95
bn_0246,0,1,A_organic,0.95
bn_0247,0,1,A_organic,0.95
bn_0248,0,1,A_organic,0.95
bn_0249,0,1,A_organic,0.95
bn_0250,0,1,A_organic,0.95
bn_0251,2,1,A_organic,0.95
bn_0252,2,1,A_organic,0.95
bn_0253,2,1,A_organic,0.95
bn_0254,1,1,A_organic,0.95
bn_0255,1,1,A_organic,0.95
bn_0256,1,1,A_organic,0.95
bn_0257,0,1,A_organic,0.95
bn_0258,0,1,A_organic,0.95
bn_0259,1,1,A_organic,0.95
bn_0260,0,1,A_organic,0.95
bn_0261,0,1,A_organic,0.95
bn_0262,0,1,A_organic,0.95
bn_0263,0,1,A_organic,0.95
bn_0264,2,1,A_organic,0.95
bn_0265,0,1,A_organic,0.95
bn_0266,2,1,A_organic,0.95
bn_0267,0,1,A_organic,0.95
bn_0268,2,1,A_organic,0.95
bn_0269,2,1,A_organic,0.95
bn_0270,1,1,A_organic,0.95
bn_0271,0,1,A_organic,0.95
bn_0272,2,1,A_organic,0.95
bn_0273,0,1,A_organic,0.95
bn_0274,1,1,A_organic,0.95
bn_0275,0,1,A_organic,0.95
bn_0276,0,1,A_organic,0.95
bn_0277,2,1,A_organic,0.95
bn_0278,2,1,A_organic,0.95
bn_0279,0,1,A_organic,0.95
bn_0280,0,1,A_organic,0.95
bn_0281,0,1,A_organic,0.95
bn_0282,2,1,A_organic,0.95
bn_0283,0,1,A_organic,0.95
bn_0284,0,1,A_organic,0.95
bn_0285,0,1,A_organic,0.95
bn_0286,1,1,A_organic,0.95
bn_0287,0,1,A_organic,0.95
bn_0288,1,1,A_organic,0.95
bn_0289,0,1,A_organic,0.95
bn_0290,0,1,A_organic,0.95
bn_0292,0,1,A_organic,0.95
bn_0293,0,1,A_organic,0.95
bn_0295,0,1,A_organic,0.95
bn_0296,0,1,A_organic,0.95
bn_0298,1,1,A_organic,0.95
bn_0299,0,1,A_organic,0.95
bn_0300,0,1,A_organic,0.95
bn_0301,1,1,A_organic,0.95
bn_0302,0,1,A_organic,0.95
bn_0303,1,1,A_organic,0.95
bn_0304,2,1,A_organic,0.95
bn_0305,1,1,A_organic,0.95
bn_0306,0,1,A_organic,0.95
bn_0307,1,1,A_organic,0.95
bn_0308,0,1,A_organic,0.95
bn_0309,1,1,A_organic,0.95
bn_0310,0,1,A_organic,0.95
bn_0311,0,1,A_organic,0.95
bn_0312,0,1,A_organic,0.95
bn_0313,2,1,A_organic,0.95
bn_0314,0,1,A_organic,0.95
bn_0315,1,1,A_organic,0.95
bn_0316,1,1,A_organic,0.95
bn_0317,1,1,A_organic,0.95
bn_0318,0,1,A_organic,0.95
bn_0319,0,1,A_organic,0.95
bn_0320,1,1,A_organic,0.95
bn_0321,0,1,A_organic,0.95
bn_0322,2,1,A_organic,0.95
bn_0323,1,1,A_organic,0.95
bn_0324,0,1,A_organic,0.95
bn_0325,0,1,A_organic,0.95
bn_0326,1,1,A_organic,0.95
bn_0327,0,1,A_organic,0.95
bn_0328,0,1,A_organic,0.95
bn_0329,0,1,A_organic,0.95
bn_0330,2,1,A_organic,0.95
bn_0331,0,1,A_organic,0.95
bn_0332,0,1,A_organic,0.95
bn_0333,1,1,A_organic,0.95
bn_0334,1,1,A_organic,0.95
bn_0335,2,1,A_organic,0.95
bn_0336,0,1,A_organic,0.95
bn_0337,1,1,A_organic,0.95
bn_0338,0,1,A_organic,0.95
bn_0339,1,1,A_organic,0.95
bn_0340,1,1,A_organic,0.95
bn_0341,0,1,A_organic,0.95
bn_0342,1,1,A_organic,0.95
bn_0343,0,1,A_organic,0.95
bn_0344,1,1,A_organic,0.95
bn_0345,0,1,A_organic,0.95
bn_0346,0,1,A_organic,0.95
bn_0347,2,1,A_organic,0.95
bn_0348,0,1,A_organic,0.95
bn_0349,0,1,A_organic,0.95
bn_0350,0,1,A_organic,0.95
bn_0351,0,1,A_organic,0.95
bn_0352,0,1,A_organic,0.95
bn_0353,1,1,A_organic,0.95
bn_0354,0,1,A_organic,0.95
bn_0355,0,1,A_organic,0.95
bn_0356,0,1,A_organic,0.95
bn_0357,0,1,A_organic,0.95
bn_0358,2,1,A_organic,0.95
bn_0359,2,1,A_organic,0.95
bn_0360,2,1,A_organic,0.95
bn_0361,2,1,A_organic,0.95
bn_0362,2,1,A_organic,0.95
bn_0363,0,1,A_organic,0.95
bn_0364,1,1,A_organic,0.95
bn_0365,0,1,A_organic,0.95
bn_0366,0,1,A_organic,0.95
bn_0367,0,1,A_organic,0.95
bn_0368,0,1,A_organic,0.95
bn_0369,0,1,A_organic,0.95
bn_0370,0,1,A_organic,0.95
bn_0371,2,1,A_organic,0.95
bn_0372,1,1,A_organic,0.95
bn_0373,1,1,A_organic,0.95
bn_0374,0,1,A_organic,0.95
bn_0375,1,1,A_organic,0.95
bn_0376,1,1,A_organic,0.95
bn_0377,0,1,A_organic,0.95
bn_0378,2,1,A_organic,0.95
bn_0379,0,1,A_organic,0.95
bn_0380,2,1,A_organic,0.95
bn_0381,2,1,A_organic,0.95
bn_0382,0,1,A_organic,0.95
bn_0383,0,1,A_organic,0.95
bn_0384,1,1,A_organic,0.95
bn_0387,0,1,A_organic,0.95
bn_0389,0,1,A_organic,0.95
bn_0390,2,1,A_organic,0.95
bn_0391,0,1,A_organic,0.95
bn_0392,1,1,A_organic,0.95
bn_0393,1,1,A_organic,0.95
bn_0394,1,1,A_organic,0.95
bn_0395,0,1,A_organic,0.95
bn_0396,1,1,A_organic,0.95
bn_0397,0,1,A_organic,0.95
bn_0398,2,1,A_organic,0.95
bn_0399,0,1,A_organic,0.95
bn_0401,1,1,A_organic,0.95
bn_0402,1,1,A_organic,0.95
bn_0403,0,1,A_organic,0.95
bn_0404,1,1,A_organic,0.95
bn_0405,0,1,A_organic,0.95
bn_0406,1,1,A_organic,0.95
bn_0407,0,1,A_organic,0.95
bn_0408,1,1,A_organic,0.95
bn_0409,0,1,A_organic,0.95
bn_0410,1,1,A_organic,0.95
bn_0411,1,1,A_organic,0.95
bn_0412,0,1,A_organic,0.95
bn_0413,0,1,A_organic,0.95
bn_0414,0,1,A_organic,0.95
bn_0415,1,1,A_organic,0.95
bn_0416,0,1,A_organic,0.95
bn_0417,0,1,A_organic,0.95
bn_0418,2,1,A_organic,0.95
bn_0419,0,1,A_organic,0.95
bn_0420,1,1,A_organic,0.95
bn_0421,2,1,A_organic,0.95
bn_0422,0,1,A_organic,0.95
bn_0423,1,1,A_organic,0.95
bn_0424,0,1,A_organic,0.95
bn_0425,0,1,A_organic,0.95
bn_0426,0,1,A_organic,0.95
bn_0427,1,1,A_organic,0.95
bn_0428,1,1,A_organic,0.95
bn_0429,1,1,A_organic,0.95
bn_0430,1,1,A_organic,0.95
bn_0431,1,1,A_organic,0.95
bn_0432,0,1,A_organic,0.95
bn_0433,2,1,A_organic,0.95
bn_0434,1,1,A_organic,0.95
bn_0435,1,1,A_organic,0.95
bn_0436,0,1,A_organic,0.95
bn_0437,1,1,A_organic,0.95
bn_0438,1,1,A_organic,0.95
bn_0439,1,1,A_organic,0.95
bn_0440,1,1,A_organic,0.95
bn_0441,1,1,A_organic,0.95
bn_0442,1,1,A_organic,0.95
bn_0443,1,1,A_organic,0.95
bn_0444,1,1,A_organic,0.95
bn_0445,1,1,A_organic,0.95
bn_0446,1,1,A_organic,0.95
bn_0447,0,1,A_organic,0.95
bn_0448,0,1,A_organic,0.95
bn_0449,1,1,A_organic,0.95
bn_0450,0,1,A_organic,0.95
bn_0451,0,1,A_organic,0.95
bn_0452,1,1,A_organic,0.95
bn_0453,1,1,A_organic,0.95
bn_0454,0,1,A_organic,0.95
bn_0455,1,1,A_organic,0.95
bn_0456,0,1,A_organic,0.95
bn_0457,1,1,A_organic,0.95
bn_0458,1,1,A_organic,0.95
bn_0459,0,1,A_organic,0.95
bn_0460,0,1,A_organic,0.95
bn_0461,0,1,A_organic,0.95
bn_0462,1,1,A_organic,0.95
bn_0463,0,1,A_organic,0.95
bn_0464,0,1,A_organic,0.95
bn_0465,1,1,A_organic,0.95
bn_0466,2,1,A_organic,0.95
bn_0467,1,1,A_organic,0.95
bn_0468,1,1,A_organic,0.95
bn_0469,0,1,A_organic,0.95
bn_0470,1,1,A_organic,0.95
bn_0471,1,1,A_organic,0.95
bn_0472,0,1,A_organic,0.95
bn_0473,1,1,A_organic,0.95
bn_0474,0,1,A_organic,0.95
bn_0475,0,1,A_organic,0.95
bn_0476,0,1,A_organic,0.95
bn_0477,0,1,A_organic,0.95
bn_0478,0,1,A_organic,0.95
bn_0479,1,1,A_organic,0.95
bn_0480,0,1,A_organic,0.95
bn_0481,1,1,A_organic,0.95
bn_0482,0,1,A_organic,0.95
bn_0483,0,1,A_organic,0.95
bn_0484,1,1,A_organic,0.95
bn_0485,0,1,A_organic,0.95
bn_0486,1,1,A_organic,0.95
bn_0487,0,1,A_organic,0.95
bn_0488,0,1,A_organic,0.95
bn_0489,1,1,A_organic,0.95
bn_0490,0,1,A_organic,0.95
bn_0491,0,1,A_organic,0.95
bn_0492,1,1,A_organic,0.95
bn_0493,0,1,A_organic,0.95
bn_0494,0,1,A_organic,0.95
bn_0495,0,1,A_organic,0.95
bn_0496,0,1,A_organic,0.95
bn_0497,1,1,A_organic,0.95
bn_0498,0,1,A_organic,0.95
bn_0499,2,0,A_organic,0.95
bn_0500,2,0,A_organic,0.95
bn_0501,1,0,A_organic,0.95
bn_0502,2,0,A_organic,0.95
bn_0503,1,0,A_organic,0.95
bn_0504,1,0,A_organic,0.95
bn_0505,2,0,A_organic,0.95
bn_0506,2,0,A_organic,0.95
bn_0507,1,0,A_organic,0.95
bn_0508,2,0,A_organic,0.95
bn_0509,2,0,A_organic,0.95
bn_0510,2,0,A_organic,0.95
bn_0511,1,0,A_organic,0.95
bn_0512,1,0,A_organic,0.95
bn_0513,2,0,A_organic,0.95
bn_0514,1,0,A_organic,0.95
bn_0515,2,0,A_organic,0.95
bn_0516,1,0,A_organic,0.95
bn_0517,1,0,A_organic,0.95
bn_0518,1,0,A_organic,0.95
bn_0519,2,0,A_organic,0.95
bn_0520,2,0,A_organic,0.95
bn_0521,1,0,A_organic,0.95
bn_0522,0,0,A_organic,0.95
bn_0523,2,0,A_organic,0.95
bn_0524,1,0,A_organic,0.95
bn_0525,2,0,A_organic,0.95
bn_0526,1,0,A_organic,0.95
bn_0527,2,0,A_organic,0.95
bn_0528,1,0,A_organic,0.95
bn_0529,0,0,A_organic,0.95
bn_0530,1,0,A_organic,0.95
bn_0531,2,0,A_organic,0.95
bn_0533,2,0,A_organic,0.95
bn_0534,2,0,A_organic,0.95
bn_0535,1,0,A_organic,0.95
bn_0536,2,0,A_organic,0.95
bn_0537,2,0,A_organic,0.95
bn_0538,2,0,A_organic,0.95
bn_0539,1,0,A_organic,0.95
bn_0540,1,0,A_organic,0.95
bn_0542,2,0,A_organic,0.95
bn_0543,2,0,A_organic,0.95
bn_0544,2,0,A_organic,0.95
bn_0545,2,0,A_organic,0.95
bn_0546,1,0,A_organic,0.95
bn_0547,2,0,A_organic,0.95
bn_0548,1,0,A_organic,0.95
bn_0549,1,0,A_organic,0.95
bn_0550,1,0,A_organic,0.95
bn_0551,1,0,A_organic,0.95
bn_0552,2,0,A_organic,0.95
bn_0553,2,0,A_organic,0.95
bn_0554,0,0,A_organic,0.95
bn_0555,2,0,A_organic,0.95
bn_0556,2,0,A_organic,0.95
bn_0557,2,0,A_organic,0.95
bn_0558,2,0,A_organic,0.95
bn_0559,2,0,A_organic,0.95
bn_0560,2,0,A_organic,0.95
bn_0561,2,0,A_organic,0.95
bn_0562,1,0,A_organic,0.95
bn_0563,1,0,A_organic,0.95
bn_0564,1,0,A_organic,0.95
bn_0565,2,0,A_organic,0.95
bn_0566,2,0,A_organic,0.95
bn_0567,2,0,A_organic,0.95
bn_0568,1,0,A_organic,0.95
bn_0569,1,0,A_organic,0.95
bn_0570,0,0,A_organic,0.95
bn_0571,1,0,A_organic,0.95
bn_0572,2,0,A_organic,0.95
bn_0573,2,0,A_organic,0.95
bn_0574,2,0,A_organic,0.95
bn_0576,1,0,A_organic,0.95
bn_0577,1,0,A_organic,0.95
bn_0578,1,0,A_organic,0.95
bn_0579,2,0,A_organic,0.95
bn_0580,2,0,A_organic,0.95
bn_0581,1,0,A_organic,0.95
bn_0582,2,0,A_organic,0.95
bn_0583,1,0,A_organic,0.95
bn_0584,2,0,A_organic,0.95
bn_0585,1,0,A_organic,0.95
bn_0586,1,0,A_organic,0.95
bn_0587,0,0,A_organic,0.95
bn_0588,2,0,A_organic,0.95
bn_0589,2,0,A_organic,0.95
bn_0590,2,0,A_organic,0.95
bn_0591,2,0,A_organic,0.95
bn_0592,1,0,A_organic,0.95
bn_0593,1,0,A_organic,0.95
bn_0594,2,0,A_organic,0.95
bn_0595,1,0,A_organic,0.95
bn_0596,2,0,A_organic,0.95
bn_0597,2,0,A_organic,0.95
bn_0598,1,0,A_organic,0.95
bn_0599,2,0,A_organic,0.95
bn_0600,2,0,A_organic,0.95
bn_0601,2,0,A_organic,0.95
bn_0602,1,0,A_organic,0.95
bn_0603,1,0,A_organic,0.95
bn_0604,2,0,A_organic,0.95
bn_0605,2,0,A_organic,0.95
bn_0606,2,0,A_organic,0.95
bn_0607,2,0,A_organic,0.95
bn_0608,1,0,A_organic,0.95
bn_0610,2,0,A_organic,0.95
bn_0611,1,0,A_organic,0.95
bn_0612,2,0,A_organic,0.95
bn_0613,2,0,A_organic,0.95
bn_0614,1,0,A_organic,0.95
bn_0615,2,0,A_organic,0.95
bn_0616,2,0,A_organic,0.95
bn_0617,2,0,A_organic,0.95
bn_0618,0,0,A_organic,0.95
bn_0619,1,0,A_organic,0.95
bn_0621,1,0,A_organic,0.95
bn_0622,1,0,A_organic,0.95
bn_0623,2,0,A_organic,0.95
bn_0624,2,0,A_organic,0.95
bn_0625,2,0,A_organic,0.95
bn_0626,2,0,A_organic,0.95
bn_0627,2,0,A_organic,0.95
bn_0628,2,0,A_organic,0.95
bn_0629,2,0,A_organic,0.95
bn_0631,2,0,A_organic,0.95
bn_0633,2,0,A_organic,0.95
bn_0634,2,0,A_organic,0.95
bn_0635,1,0,A_organic,0.95
bn_0636,2,0,A_organic,0.95
bn_0637,2,0,A_organic,0.95
bn_0638,2,0,A_organic,0.95
bn_0639,2,0,A_organic,0.95
bn_0640,2,0,A_organic,0.95
bn_0641,1,0,A_organic,0.95
bn_0642,2,0,A_organic,0.95
bn_0643,2,0,A_organic,0.95
bn_0644,2,0,A_organic,0.95
bn_0645,1,0,A_organic,0.95
bn_0646,2,0,A_organic,0.95
bn_0648,2,0,A_organic,0.95
bn_0649,2,0,A_organic,0.95
bn_0650,1,0,A_organic,0.95
bn_0651,1,0,A_organic,0.95
bn_0652,2,0,A_organic,0.95
bn_0653,1,0,A_organic,0.95
bn_0654,1,0,A_organic,0.95
bn_0655,2,0,A_organic,0.95
bn_0657,2,0,A_organic,0.95
bn_0658,2,0,A_organic,0.95
bn_0659,1,0,A_organic,0.95
bn_0660,2,0,A_organic,0.95
bn_0661,1,0,A_organic,0.95
bn_0663,1,0,A_organic,0.95
bn_0664,0,0,A_organic,0.95
bn_0665,0,0,A_organic,0.95
bn_0666,1,0,A_organic,0.95
bn_0667,2,0,A_organic,0.95
bn_0668,2,0,A_organic,0.95
bn_0669,2,0,A_organic,0.95
bn_0670,1,0,A_organic,0.95
bn_0671,1,0,A_organic,0.95
bn_0672,2,0,A_organic,0.95
bn_0673,1,0,A_organic,0.95
bn_0674,1,0,A_organic,0.95
bn_0675,2,0,A_organic,0.95
bn_0676,2,0,A_organic,0.95
bn_0677,2,0,A_organic,0.95
bn_0678,0,0,A_organic,0.95
bn_0679,0,0,A_organic,0.95
bn_0680,2,0,A_organic,0.95
bn_0681,1,0,A_organic,0.95
bn_0682,0,0,A_organic,0.95
bn_0683,1,0,A_organic,0.95
bn_0684,2,0,A_organic,0.95
bn_0685,2,0,A_organic,0.95
bn_0686,1,0,A_organic,0.95
bn_0687,1,0,A_organic,0.95
bn_0688,1,0,A_organic,0.95
bn_0689,1,0,A_organic,0.95
bn_0690,1,0,A_organic,0.95
bn_0691,0,0,A_organic,0.95
bn_0692,2,0,A_organic,0.95
bn_0693,2,0,A_organic,0.95
bn_0694,1,0,A_organic,0.95
bn_0695,0,0,A_organic,0.95
bn_0696,0,0,A_organic,0.95
bn_0697,1,0,A_organic,0.95
bn_0698,1,0,A_organic,0.95
bn_0699,2,0,A_organic,0.95
bn_0700,2,0,A_organic,0.95
bn_0701,1,0,A_organic,0.95
bn_0702,2,0,A_organic,0.95
bn_0703,2,0,A_organic,0.95
bn_0704,1,0,A_organic,0.95
bn_0705,1,0,A_organic,0.95
bn_0706,2,0,A_organic,0.95
bn_0707,2,0,A_organic,0.95
bn_0708,1,0,A_organic,0.95
bn_0709,2,0,A_organic,0.95
bn_0710,1,0,A_organic,0.95
bn_0711,1,0,A_organic,0.95
bn_0712,1,0,A_organic,0.95
bn_0713,2,0,A_organic,0.95
bn_0714,0,0,A_organic,0.95
bn_0715,1,0,A_organic,0.95
bn_0716,0,0,A_organic,0.95
bn_0717,2,0,A_organic,0.95
bn_0718,2,0,A_organic,0.95
bn_0719,1,0,A_organic,0.95
bn_0720,2,0,A_organic,0.95
bn_0721,0,0,A_organic,0.95
bn_0722,1,0,A_organic,0.95
bn_0723,2,0,A_organic,0.95
bn_0724,0,0,A_organic,0.95
bn_0725,2,0,A_organic,0.95
bn_0726,2,0,A_organic,0.95
bn_0727,1,0,A_organic,0.95
bn_0728,2,0,A_organic,0.95
bn_0729,2,0,A_organic,0.95
bn_0730,1,0,A_organic,0.95
bn_0731,2,0,A_organic,0.95
bn_0732,2,0,A_organic,0.95
bn_0733,2,0,A_organic,0.95
bn_0734,2,0,A_organic,0.95
bn_0735,1,0,A_organic,0.95
bn_0736,2,0,A_organic,0.95
bn_0737,2,0,A_organic,0.95
bn_0738,1,0,A_organic,0.95
bn_0739,2,0,A_organic,0.95
bn_0740,1,0,A_organic,0.95
bn_0741,1,0,A_organic,0.95
bn_0742,2,0,A_organic,0.95
bn_0743,2,0,A_organic,0.95
bn_0744,1,0,A_organic,0.95
bn_0745,1,0,A_organic,0.95
bn_0746,1,0,A_organic,0.95
bn_0747,1,0,A_organic,0.95
bn_0748,2,0,A_organic,0.95
bn_0749,1,0,A_organic,0.95
bn_0750,1,0,A_organic,0.95
bn_0751,2,0,A_organic,0.95
bn_0752,1,0,A_organic,0.95
bn_0753,1,0,A_organic,0.95
bn_0754,2,0,A_organic,0.95
bn_0755,2,0,A_organic,0.95
bn_0756,2,0,A_organic,0.95
bn_0757,1,0,A_organic,0.95
bn_0758,2,0,A_organic,0.95
bn_0759,0,0,A_organic,0.95
bn_0760,2,0,A_organic,0.95
