_timestamp_utc,_git_commit,_untracked_files,_config,_python,_platform,condition,w,auc,n_pos,n_neg
2026-08-17T19:26:53.482222+00:00,dda307c855d2f77026e2a39a89d5d81b166e1281,1,configs/s4_w.yaml,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,free_length,0.15,0.46305555555555555,60,60
2026-08-17T19:26:53.482222+00:00,dda307c855d2f77026e2a39a89d5d81b166e1281,1,configs/s4_w.yaml,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,free_length,0.2,0.4841666666666667,60,60
2026-08-17T19:26:53.482222+00:00,dda307c855d2f77026e2a39a89d5d81b166e1281,1,configs/s4_w.yaml,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,free_length,0.25,0.5286111111111111,60,60
2026-08-17T19:26:53.482222+00:00,dda307c855d2f77026e2a39a89d5d81b166e1281,1,configs/s4_w.yaml,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,free_length,0.3,0.5644444444444444,60,60
2026-08-17T19:26:53.482222+00:00,dda307c855d2f77026e2a39a89d5d81b166e1281,1,configs/s4_w.yaml,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,free_length,0.35,0.6072222222222222,60,60
2026-08-17T19:26:53.482222+00:00,dda307c855d2f77026e2a39a89d5d81b166e1281,1,configs/s4_w.yaml,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,free_length,0.4,0.6305555555555555,60,60
2026-08-17T19:26:53.482222+00:00,dda307c855d2f77026e2a39a89d5d81b166e1281,1,configs/s4_w.yaml,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,free_length,0.45,0.6466666666666666,60,60
2026-08-17T19:26:53.482222+00:00,dda307c855d2f77026e2a39a89d5d81b166e1281,1,configs/s4_w.yaml,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,free_length,0.5,0.6544444444444445,60,60
2026-08-17T19:26:53.482222+00:00,dda307c855d2f77026e2a39a89d5d81b166e1281,1,configs/s4_w.yaml,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,free_length,0.55,0.6588888888888889,60,60
2026-08-17T19:26:53.482222+00:00,dda307c855d2f77026e2a39a89d5d81b166e1281,1,configs/s4_w.yaml,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,free_length,0.6,0.6630555555555555,60,60
2026-08-17T19:26:53.482222+00:00,dda307c855d2f77026e2a39a89d5d81b166e1281,1,configs/s4_w.yaml,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,free_length,0.65,0.6666666666666666,60,60
2026-08-17T19:26:53.482222+00:00,dda307c855d2f77026e2a39a89d5d81b166e1281,1,configs/s4_w.yaml,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,free_length,0.7,0.675,60,60
2026-08-17T19:26:53.482222+00:00,dda307c855d2f77026e2a39a89d5d81b166e1281,1,configs/s4_w.yaml,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,free_length,0.75,0.6786111111111112,60,60
2026-08-17T19:26:53.482222+00:00,dda307c855d2f77026e2a39a89d5d81b166e1281,1,configs/s4_w.yaml,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,free_length,0.8,0.6855555555555556,60,60
2026-08-17T19:26:53.482222+00:00,dda307c855d2f77026e2a39a89d5d81b166e1281,1,configs/s4_w.yaml,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,free_length,0.85,0.6902777777777778,60,60
2026-08-17T19:26:53.482222+00:00,dda307c855d2f77026e2a39a89d5d81b166e1281,1,configs/s4_w.yaml,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,free_length,0.9,0.7005555555555556,60,60
2026-08-17T19:26:53.482222+00:00,dda307c855d2f77026e2a39a89d5d81b166e1281,1,configs/s4_w.yaml,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,free_length,0.95,0.7058333333333333,60,60
2026-08-17T19:26:53.482222+00:00,dda307c855d2f77026e2a39a89d5d81b166e1281,1,configs/s4_w.yaml,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,free_length,1.0,0.8658333333333333,60,60
