K,silhouette,calinski_harabasz,davies_bouldin,gap,gap_se,prediction_strength,bootstrap_ari_mean,bootstrap_ari_sd,gmm_bic,ari_vs_sentiment,min_cluster_share,max_cluster_share,trap_band
2,0.05340440943837166,74.4683837890625,4.979447564959596,0.9497880470731088,0.0007779487155655801,0.860469636872464,0.9398799688051923,0.029019083502332798,-6125017.4707565,0.15215228961385482,0.3974696889826041,0.6025303110173958,NOT_SENTIMENT_ALIGNED
3,0.014617866836488247,58.977542877197266,4.947086316868793,0.9700138307643575,0.0006192786286197608,0.6691784548084309,0.9094334428036006,0.04544302410434464,-6152251.83591961,0.18042626945812332,0.2952029520295203,0.3890353189246178,NOT_SENTIMENT_ALIGNED
4,0.011180016212165356,50.41670227050781,4.7551453395515955,0.9856743518693829,0.0006778081932022966,0.4152998126332112,0.5305261297579227,0.17818792114115822,-6167742.7507473845,0.1273603116920237,0.18766473379019505,0.3410648392198208,NOT_SENTIMENT_ALIGNED
5,0.018216343596577644,45.77848815917969,4.573909781826958,0.9985821440720724,0.0007882107189995316,0.3748883739892175,0.6465682203825182,0.2133946930822929,-6182903.556351975,0.11478438615731726,0.12493410648392199,0.2577754348972061,NOT_SENTIMENT_ALIGNED
6,0.011662560515105724,42.39624786376953,4.385485787613557,1.012171709382172,0.0009745457372408389,0.3637313137845716,0.6714814982879497,0.16161395633623252,-6197719.014527366,0.0847819920174825,0.11122825513969425,0.24090669478123353,NOT_SENTIMENT_ALIGNED
7,0.017196064814925194,39.7587890625,4.24877765207065,1.0223796993209984,0.0006753377874550005,0.3541645434071829,0.7548401723961808,0.09719930227528194,-6201327.279757984,0.08352816271982495,0.09172377438060095,0.19504480759093304,NOT_SENTIMENT_ALIGNED
8,0.01032544020563364,36.949405670166016,4.040965572441467,1.0322879765467885,0.0008450659658489415,0.3145041435873364,0.6416531269745995,0.09795274697791734,-6210424.64370105,0.07332037907764608,0.08645229309435952,0.158144438587243,NOT_SENTIMENT_ALIGNED
