cell,n,cluster1_share_%,cell_majority,deviation_from_marginal_pp
"S0|(15.0, 69.0]",129,48.837209302325576,0,9.090240404065163
"S0|(2.999, 6.0]",391,69.30946291560103,1,29.56249401734062
"S0|(6.0, 9.0]",239,57.32217573221757,1,17.57520683395716
"S0|(9.0, 15.0]",185,48.10810810810811,0,8.3611392098477
"S1|(15.0, 69.0]",311,11.254019292604502,0,28.49294960565591
"S1|(2.999, 6.0]",192,36.45833333333333,0,3.288635564927084
"S1|(6.0, 9.0]",177,23.728813559322035,0,16.018155338938378
"S1|(9.0, 15.0]",273,17.216117216117215,0,22.530851682143197
